fT (L=5.5e-07) X,fT (L=5.5e-07) Y,fT (L=6.5e-07) X,fT (L=6.5e-07) Y,fT (L=7.5e-07) X,fT (L=7.5e-07) Y,fT (L=8.5e-07) X,fT (L=8.5e-07) Y,fT (L=9.5e-07) X,fT (L=9.5e-07) Y,fT (L=1.05e-06) X,fT (L=1.05e-06) Y,fT (L=1.15e-06) X,fT (L=1.15e-06) Y,fT (L=1.25e-06) X,fT (L=1.25e-06) Y,fT (L=1.35e-06) X,fT (L=1.35e-06) Y,fT (L=1.45e-06) X,fT (L=1.45e-06) Y,fT (L=1.55e-06) X,fT (L=1.55e-06) Y,fT (L=1.65e-06) X,fT (L=1.65e-06) Y,fT (L=1.75e-06) X,fT (L=1.75e-06) Y,fT (L=1.85e-06) X,fT (L=1.85e-06) Y,fT (L=1.95e-06) X,fT (L=1.95e-06) Y
27.3635673333962,56393218.45194948,27.31777890152442,40626722.37422888,27.32127501935916,31586314.36109746,27.35920413368108,25408998.83365068,27.38426071967248,21478743.64020533,27.39954792484682,18743326.69005185,27.40707827790425,16712636.68341975,27.43195662679402,14388403.95384475,27.47122520772268,12044776.03442754,27.50256216543925,10295338.57711302,27.5280022997862,8948163.00540407,27.54890920531614,7883856.990074741,27.5662368157331,7024878.975856803,27.58067688854514,6319001.922701975,27.59274638477457,5729938.424918285
26.16710412142418,202917228.6215341,26.1251159412007,145689979.4727973,26.10583827214737,113019124.2884912,26.12664682906501,90923735.03514981,26.10893036669625,76704395.06154922,26.06852734325291,66719996.83313555,26.01413794397684,59256966.61719537,26.03133523222483,51035233.71785854,26.10734513457548,42890594.40415256,26.16327600474059,36763814.92812046,26.20446812763385,32016610.93524715,26.23457670205945,28247343.53868977,26.25618075327001,25192690.95793569,26.27114836777895,22673894.22460753,26.28086375980229,20565918.81018203
23.54843450506895,586264919.5234627,23.52608299039917,418121997.2600314,23.49403959946089,322229388.4396478,23.50390483020291,258338683.2068247,23.45189986521901,216509338.2749977,23.36712407069548,186816734.9123929,23.26498089375804,164485002.8741529,23.27428008256019,141432913.1360224,23.37436130408754,119352345.2285077,23.44577623106386,102570466.2381749,23.49597433286913,89460984.33980976,23.53017987478371,78984287.90205811,23.55214820234731,70449712.47265631,23.56463614377509,63383090.65312928,23.56970446483414,57449541.00386482
20.02795727298512,1262450068.261577,20.03737890565055,892297947.659808,20.00630235004468,680944192.6466279,20.01128284415261,542486355.6267725,19.93918483546618,450149002.5581462,19.82695105325879,383946524.6506689,19.69422739832165,333957618.8785959,19.69542292966014,286157994.0870544,19.80589965486729,242362089.4667749,19.88278092374874,208687766.2878026,19.93481465392257,182146506.8881373,19.96817740499806,160789048.8431605,19.98732571213251,143298539.7392856,19.99553629027557,128758082.0656558,19.9952583500795,116512316.2713206
16.1939123138648,2146509414.040933,16.23410645783884,1509370086.956002,16.20934038849788,1142649523.715936,16.2056729131133,905061943.2127261,16.12786946331961,743953654.86207,16.01295751254252,627595903.8072073,15.88061939865562,539643027.0576277,15.87578086767803,460946273.3180192,15.97445528290465,391811050.7532247,16.04220646091997,338048424.9793621,16.08694728982314,295299889.3178912,16.11435666433313,260665945.3446701,16.12858085561304,232154523.3188942,16.13269370154973,208358400.9135112,16.12900504105191,188259161.719242
12.88975314506543,3167304507.437149,12.95458993902728,2228400575.471513,12.94522840542919,1680773815.132819,12.94012279931785,1326884605.564354,12.87694344033196,1084136942.35843,12.78533180466839,908032027.7961168,12.68094999270828,774917810.0115129,12.67545085556993,660693394.6214046,12.74976022487065,563134694.4867887,12.80022478196475,486633879.5477546,12.83294364820805,425410646.6169923,12.85231202105577,375560537.0717609,12.86154783999476,334365760.8253915,12.86304049086833,299884772.6320642,12.85858641393275,270698824.0299144
10.39062276291027,4271228132.290293,10.47409733030659,3018533955.705456,10.48102012629701,2275725850.278421,10.47933434171967,1794090357.679263,10.43436202639877,1461066712.886225,10.36825652586868,1218693755.607882,10.29268464780102,1035440299.933755,10.28917908881571,882058146.6435478,10.34345121062045,753299252.6279089,10.37995357846404,651731982.5605788,10.40328085637768,570076213.1569728,10.41673260576675,503356068.297148,10.42271707947549,448073357.9489418,10.42301726008061,401707888.7662554,10.41896992615951,362404841.0967323
8.547824135100143,5403305165.692325,8.644901847628288,3844852571.369778,8.665694633251801,2903492802.696663,8.669253496864062,2288887894.760658,8.639942831874798,1861253958.000668,8.594413095097066,1549132342.718218,8.541432442561076,1312955994.6971,8.540866056985637,1118260222.582546,8.581930387301844,956534687.9739721,8.609396777044461,828375895.897348,8.626828203346568,724979562.8215299,8.636769020608567,640268810.8803256,8.641067335726108,569936567.6772538,8.641085658345386,510858795.0725322,8.63784169971858,460723146.3634667
7.170906900284643,6518722752.298202,7.277011984366847,4676870918.308586,7.308818661554733,3542529069.977153,7.318012308367348,2795254986.579979,7.30128583631268,2272447664.966262,7.271496053410679,1889749436.231111,7.235435842753619,1599783277.65137,7.238080280547559,1363005155.15953,7.271055917162184,1167569354.270799,7.293147373593097,1012086221.093147,7.307237265660868,886267222.076977,7.315373806259561,782948351.8411866,7.319038248278435,697015348.7077643,7.319318483624309,624736591.063394,7.317024385866797,563336338.491529
6.118884804151369,7586495539.875626,6.229787599328609,5491335862.929838,6.269883383126588,4175817392.014381,6.284365014001558,3300441182.538249,6.277619276640703,2684850351.296337,6.259865466866649,2232843881.784204,6.23653828599492,1889746523.873924,6.242345156024057,1611253683.658978,6.270563029296283,1382224599.760518,6.289655771755346,1199346864.400398,6.302051943293517,1050942160.714614,6.309472276093042,928810895.7552222,6.313158008276727,827059722.3342983,6.314018684920161,741364531.9571105,6.312730068504242,668493985.5280898
5.29725439034704,8588381136.276772,5.409211947813719,6272103865.833379,5.455087014470887,4790780841.574116,5.474090525728182,3794782821.985943,5.475173931284807,3090901403.985399,5.466660013332674,2572392187.267115,5.453015117179931,2177965603.070984,5.461740912726315,1859006074.577683,5.487262223910941,1597190393.935692,5.504824027398394,1387383707.712038,5.516538518150472,1216651616.30983,5.523902794060057,1075839148.024587,5.527996876431941,958322804.8745176,5.529612177876801,859216286.8805794,5.529336704044681,774851637.2159522
4.642933501571617,9515910548.765514,4.752999769254407,7009212430.681665,4.802451747539405,5378818770.15651,4.825011275988424,4271341540.371397,4.832113298975703,3484972688.156711,4.830664349812481,2903783042.271389,4.824409471133247,2460620129.062385,4.835681327227068,2103079126.583951,4.859724642219019,1809807581.437865,4.87661879660981,1573956812.903915,4.888239915485753,1381491674.783484,4.895922557618622,1222400125.544338,4.90063238858931,1089391770.530916,4.903078872143885,977059474.6808234,4.90379036717074,881326114.1705436
4.112887672161198,10367053349.99323,4.218990877857393,7697416670.767689,4.270223203735299,5934584369.982074,4.295359959626081,4725466219.724174,4.306969011241817,3863081767.571564,4.310864741781865,3223616383.411732,4.310233771114592,2734800170.37219,4.32361627767942,2340983626.156202,4.346860248798701,2017955458.877428,4.363555982653692,1757254223.243386,4.375391605412877,1543906440.11482,4.383575089801205,1367149762.213851,4.388985054198191,1219098069.151219,4.392270032585588,1093871537.169878,4.393915093364926,987016921.193913
3.677085634524366,11143835272.83574,3.777888400107266,8334848665.476659,3.829504796183306,6455213162.503881,3.856331485330128,5154315958.349835,3.871208326915496,4222589519.730023,3.879084968000504,3529506863.735675,3.882701718872093,2998375520.757669,3.897753356621569,2570832926.970151,3.920547181650716,2219982966.291002,3.937270475316639,1935836893.829077,3.949452538546245,1702641226.423668,3.95819640029625,1508991202.600479,3.964309933049342,1346479113.059198,3.968393161327306,1208803946.895304,3.970897422440058,1091172548.246995
