selfgain (L=5.5e-07) X,selfgain (L=5.5e-07) Y,selfgain (L=6.5e-07) X,selfgain (L=6.5e-07) Y,selfgain (L=7.5e-07) X,selfgain (L=7.5e-07) Y,selfgain (L=8.5e-07) X,selfgain (L=8.5e-07) Y,selfgain (L=9.5e-07) X,selfgain (L=9.5e-07) Y,selfgain (L=1.05e-06) X,selfgain (L=1.05e-06) Y,selfgain (L=1.15e-06) X,selfgain (L=1.15e-06) Y,selfgain (L=1.25e-06) X,selfgain (L=1.25e-06) Y,selfgain (L=1.35e-06) X,selfgain (L=1.35e-06) Y,selfgain (L=1.45e-06) X,selfgain (L=1.45e-06) Y,selfgain (L=1.55e-06) X,selfgain (L=1.55e-06) Y,selfgain (L=1.65e-06) X,selfgain (L=1.65e-06) Y,selfgain (L=1.75e-06) X,selfgain (L=1.75e-06) Y,selfgain (L=1.85e-06) X,selfgain (L=1.85e-06) Y,selfgain (L=1.95e-06) X,selfgain (L=1.95e-06) Y
27.3635673333962,234.2895753340116,27.31777890152442,279.1616622386562,27.32127501935916,320.9769929750593,27.35920413368108,360.5258294119275,27.38426071967248,399.9198220884323,27.39954792484682,439.2861432095783,27.40707827790425,478.7354272593352,27.43195662679402,511.0802537199358,27.47122520772268,534.9173989499031,27.50256216543925,557.2066969116854,27.5280022997862,578.1133627960708,27.54890920531614,597.7795180082361,27.5662368157331,616.3279137564066,27.58067688854514,633.8650354497644,27.59274638477457,650.4836728107051
26.16710412142418,233.2378845993112,26.1251159412007,277.7411277694069,26.10583827214737,319.2197059649958,26.12664682906501,358.5295056146209,26.10893036669625,397.6360038108735,26.06852734325291,436.6770346679041,26.01413794397684,475.7698170958441,26.03133523222483,507.7123154962389,26.10734513457548,531.1134298726439,26.16327600474059,552.9553659239883,26.20446812763385,573.4038218672681,26.23457670205945,592.6017048388429,26.25618075327001,610.6727090362218,26.27114836777895,627.7243288981672,26.28086375980229,643.8503729820955
23.54843450506895,231.4116464704456,23.52608299039917,275.3214544303978,23.49403959946089,316.3177619632282,23.50390483020291,355.2882294198774,23.45189986521901,394.0539010639449,23.36712407069548,432.7510326019041,23.26498089375804,471.4935581453831,23.27428008256019,502.9060674122215,23.37436130408754,525.6012693119065,23.44577623106386,546.7378661008619,23.49597433286913,566.4867434996524,23.53017987478371,584.9945612185049,23.55214820234731,602.3878006011205,23.56463614377509,618.7760509303878,23.56970446483414,634.2546946931625
20.02795727298512,230.5284930353124,20.03737890565055,274.2515794766317,20.00630235004468,315.1107231178162,20.01128284415261,353.9203538892537,19.93918483546618,392.5122739165627,19.82695105325879,430.9962504840564,19.69422739832165,469.4655610692274,19.69542292966014,500.6857732210902,19.80589965486729,523.3259577938048,19.88278092374874,544.416048365655,19.93481465392257,564.1331041801072,19.96817740499806,582.6276576773114,19.98732571213251,600.0284310855732,19.99553629027557,616.4461115709469,19.9952583500795,631.976387686503
16.1939123138648,230.3018141062358,16.23410645783884,274.0871241315752,16.20934038849788,314.8863897826503,16.2056729131133,353.4298284059563,16.12786946331961,391.6407457481053,16.01295751254252,429.618548960535,15.88061939865562,467.4497083994999,15.87578086767803,498.4551662979403,15.97445528290465,521.4215530736948,16.04220646091997,542.8563786177331,16.08694728982314,562.9345026797943,16.11435666433313,581.8045731172157,16.12858085561304,599.5936289719848,16.13269370154973,616.4108272190219,16.12900504105191,632.3504584128407
12.88975314506543,229.7832405604541,12.95458993902728,273.5063819389588,12.94522840542919,314.0332443025187,12.94012279931785,352.0294537695605,12.87694344033196,389.5411708186993,12.78533180466839,426.6707945599513,12.68094999270828,463.5075145556376,12.67545085556993,494.0189373811788,12.74976022487065,517.125072340304,12.80022478196475,538.7277130053653,12.83294364820805,558.9965656160583,12.85231202105577,578.0761854293238,12.86154783999476,596.0903237162481,12.86304049086833,613.1454694453979,12.85858641393275,629.3337290784431
10.39062276291027,228.6948714479619,10.47409733030659,272.1373428098037,10.48102012629701,312.1523666158591,10.47933434171967,349.3660039819115,10.43436202639877,385.9430800329326,10.36825652586868,421.9945036446452,10.29268464780102,457.6155953040544,10.28917908881571,487.3698504329748,10.34345121062045,510.3020993152334,10.37995357846404,531.7593045213606,10.40328085637768,551.9068929677042,10.41673260576675,570.8859232073984,10.42271707947549,588.8172769489714,10.42301726008061,605.8050753527316,10.41896992615951,621.9394594070149
8.547824135100143,227.02880973109,8.644901847628288,269.9939116813129,8.665694633251801,309.309930222865,8.669253496864062,345.585341467975,8.639942831874798,381.0833522099817,8.594413095097066,415.9255766575709,8.541432442561076,450.2146249499534,8.540866056985637,479.0295757014924,8.581930387301844,501.5247394639511,8.609396777044461,522.56991201175,8.626828203346568,542.3279626864363,8.636769020608567,560.9377436705655,8.641067335726108,578.5182370655798,8.641085658345386,595.1719259742619,8.63784169971858,610.9875339249079
7.170906900284643,224.8516757478741,7.277011984366847,267.191450450082,7.308818661554733,305.680230995869,7.318012308367348,340.9250572830475,7.30128583631268,375.2644477746993,7.271496053410679,408.8320142609612,7.235435842753619,441.7382908888757,7.238080280547559,469.5070908708555,7.271055917162184,491.3874003129671,7.293147373593097,511.8395765361226,7.307237265660868,531.0253218153555,7.315373806259561,549.0823442671256,7.319038248278435,566.1285355247009,7.319318483624309,582.2653546930384,7.317024385866797,597.5805714135457
6.118884804151369,222.2303069058539,6.229787599328609,263.839196064336,6.269883383126588,301.4180333575153,6.284365014001558,335.5824729588666,6.277619276640703,368.7249568809266,6.259865466866649,400.9923862832068,6.23653828599492,432.5038999466657,6.242345156024057,459.1731397512376,6.270563029296283,480.3313210303214,6.289655771755346,500.0813734934992,6.302051943293517,518.5846739215144,6.309472276093042,535.9784374313402,6.313158008276727,552.3799641555986,6.314018684920161,567.8900683354675,6.312730068504242,582.5958510578362
